,Date,Address,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,dayofyear,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,weight_1,weight_2,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,1week_halfmile,1week_1mile,1week_5mile,1month_halfmile,1month_1mile,1month_5mile,1quarter_halfmile,1quarter_1mile,1quarter_5mile
10,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,149,0,0,1,0,0,0,0,0.7640426903880766,0.2359573096119234,88.0,63.820213451940376,76.29212807116423,2.359573096119234,58.76404269038808,65.76404269038808,0.0,11.292128071164232,0.0,0.0,0.0,29.428202134519402,30.094719146192237,5.8,16.471914619223845,7.187638421349269,0,0,1,0,0,1,0,0,1
11,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,149,0,0,0,1,0,0,0,0.7640426903880766,0.2359573096119234,88.0,63.820213451940376,76.29212807116423,2.359573096119234,58.76404269038808,65.76404269038808,0.0,11.292128071164232,0.0,0.0,0.0,29.428202134519402,30.094719146192237,5.8,16.471914619223845,7.187638421349269,0,0,1,0,0,1,0,0,1
12,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,149,0,1,0,0,0,0,0,0.7991185425377252,0.20088145746227484,88.0,63.99559271268863,76.39735562761318,2.0088145746227486,58.79911854253773,65.79911854253773,0.0,11.397355627613177,0.0,0.0,0.0,29.42995592712689,30.094017629149246,5.800000000000001,16.40176291492455,7.219206688283952,1,1,1,1,1,1,1,1,1
13,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,149,0,0,0,1,0,0,0,0.7991185425377252,0.20088145746227484,88.0,63.99559271268863,76.39735562761318,2.0088145746227486,58.79911854253773,65.79911854253773,0.0,11.397355627613177,0.0,0.0,0.0,29.42995592712689,30.094017629149246,5.800000000000001,16.40176291492455,7.219206688283952,1,1,1,1,1,1,1,1,1
14,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,149,0,0,0,1,0,0,0,0.6749127318847756,0.32508726811522437,88.0,63.37456365942388,76.02473819565432,3.2508726811522437,58.674912731884774,65.67491273188477,0.0,11.024738195654326,0.0,0.0,0.0,29.42374563659424,30.096501745362303,5.8,16.65017453623045,7.107421458696297,0,0,1,0,0,1,0,0,1
15,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,149,0,0,1,0,0,0,0,0.44127097634568785,0.5587290236543122,88.0,62.206354881728444,75.32381292903706,5.587290236543122,58.44127097634569,65.44127097634569,0.0,10.323812929037064,0.0,0.0,0.0,29.412063548817287,30.10117458047309,5.800000000000001,17.117458047308624,6.89714387871112,1,1,1,1,1,1,1,1,1
16,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,149,0,0,0,1,0,0,0,0.44127097634568785,0.5587290236543122,88.0,62.206354881728444,75.32381292903706,5.587290236543122,58.44127097634569,65.44127097634569,0.0,10.323812929037064,0.0,0.0,0.0,29.412063548817287,30.10117458047309,5.800000000000001,17.117458047308624,6.89714387871112,1,1,1,1,1,1,1,1,1
17,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,149,0,0,0,1,0,0,0,0.43948148675057913,0.5605185132494209,88.0,62.1974074337529,75.31844446025174,5.605185132494209,58.43948148675058,65.43948148675058,0.0,10.318444460251737,0.0,0.0,0.0,29.41197407433753,30.101210370264987,5.800000000000001,17.121037026498843,6.895533338075522,1,1,1,1,1,1,1,1,1
18,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,149,0,0,1,0,0,0,0,0.38843987456198964,0.6115601254380103,88.0,61.94219937280994,75.16531962368596,6.115601254380103,58.38843987456199,65.38843987456198,0.0,10.165319623685967,0.0,0.0,0.0,29.409421993728095,30.10223120250876,5.799999999999999,17.22312025087602,6.8495958871057905,1,1,1,1,1,1,1,1,1
19,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,149,0,0,1,0,0,0,0,0.5069008571554529,0.49309914284454714,88.0,62.53450428577726,75.52070257146636,4.930991428445472,58.50690085715546,65.50690085715546,0.0,10.520702571466359,0.0,0.0,0.0,29.415345042857773,30.09986198285689,5.8,16.986198285689092,6.956210771439908,0,0,1,0,0,1,0,0,1
20,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,149,0,0,1,0,0,0,0,0.35473498682930504,0.6452650131706948,88.0,61.77367493414652,75.0642049604879,6.452650131706949,58.3547349868293,65.3547349868293,0.0,10.064204960487913,0.0,0.0,0.0,29.40773674934146,30.10290530026341,5.799999999999999,17.290530026341386,6.819261488146374,1,1,1,1,1,1,1,1,1
21,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,149,0,0,0,1,0,0,0,0.35473498682930504,0.6452650131706948,88.0,61.77367493414652,75.0642049604879,6.452650131706949,58.3547349868293,65.3547349868293,0.0,10.064204960487913,0.0,0.0,0.0,29.40773674934146,30.10290530026341,5.799999999999999,17.290530026341386,6.819261488146374,1,1,1,1,1,1,1,1,1
22,2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,149,0,0,0,1,0,0,0,0.7698333522831842,0.2301666477168159,88.0,63.84916676141593,76.30950005684956,2.3016664771681588,58.769833352283186,65.76983335228319,0.0,11.309500056849553,0.0,0.0,0.0,29.42849166761416,30.09460333295434,5.8,16.46033329543363,7.192850017054866,1,1,1,1,1,1,1,1,1
23,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,149,0,0,1,0,0,0,0,0.6584304376440474,0.34156956235595265,88.0,63.29215218822024,75.97529131293214,3.4156956235595266,58.65843043764406,65.65843043764406,0.0,10.975291312932143,0.0,0.0,0.0,29.422921521882202,30.096831391247118,5.800000000000001,16.683139124711907,7.0925873938796435,0,0,1,0,0,1,0,0,1
24,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,149,0,0,0,1,0,0,0,0.6584304376440474,0.34156956235595265,88.0,63.29215218822024,75.97529131293214,3.4156956235595266,58.65843043764406,65.65843043764406,0.0,10.975291312932143,0.0,0.0,0.0,29.422921521882202,30.096831391247118,5.800000000000001,16.683139124711907,7.0925873938796435,0,0,1,0,0,1,0,0,1
25,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,156,0,1,0,0,0,0,0,0.7073233159620111,0.29267668403798874,63.29267668403798,49.82929326384804,56.707323315962,-2.6340901563418986,47.292676684037986,51.70732331596201,8.292676684037987,0.0,0.0,0.0,0.31390150260569827,29.14243939895772,29.782926766840376,5.90732331596201,3.5853533680759773,7.953661657981004,0,0,1,0,0,1,0,0,1
26,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,156,0,0,1,0,0,0,0,0.7073233159620111,0.29267668403798874,63.29267668403798,49.82929326384804,56.707323315962,-2.6340901563418986,47.292676684037986,51.70732331596201,8.292676684037987,0.0,0.0,0.0,0.31390150260569827,29.14243939895772,29.782926766840376,5.90732331596201,3.5853533680759773,7.953661657981004,0,0,1,0,0,1,0,0,1
27,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,156,0,0,0,1,0,0,0,0.7073233159620111,0.29267668403798874,63.29267668403798,49.82929326384804,56.707323315962,-2.6340901563418986,47.292676684037986,51.70732331596201,8.292676684037987,0.0,0.0,0.0,0.31390150260569827,29.14243939895772,29.782926766840376,5.90732331596201,3.5853533680759773,7.953661657981004,0,0,1,0,0,1,0,0,1
28,2007-06-05,"1100 South State Street, Chicago, IL 60605, USA",11, S STATE ST,T092,"1100  S STATE ST, Chicago, IL",41.869215999999994,-87.627561,8,1,0,156,0,0,1,0,0,0,0,0.6883273230425613,0.3116726769574388,63.31167267695744,49.75330929217025,56.688327323042564,-2.805054092616949,47.31167267695744,51.688327323042564,8.31167267695744,0.0,0.0,0.0,0.31675090154361585,29.141299639382556,29.783116726769578,5.888327323042562,3.6233453539148774,7.944163661521281,0,0,1,0,0,1,0,0,1
29,2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,0,156,0,0,0,1,0,0,0,0.6680183077909071,0.3319816922090929,63.33198169220909,49.67207323116363,56.6680183077909,-2.9878352298818363,47.33198169220909,51.66801830779091,8.331981692209093,0.0,0.0,0.0,0.3197972538313639,29.140081098467455,29.78331981692209,5.868018307790908,3.663963384418186,7.934009153895453,0,0,1,0,0,1,0,0,1
30,2007-06-05,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",14, N HUMBOLDT DR,T033,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,3,0,156,0,0,0,1,0,0,0,0.6550914307580781,0.3449085692419219,63.34490856924192,49.620365723032315,56.65509143075808,-3.104177123177297,47.34490856924192,51.65509143075808,8.344908569241921,0.0,0.0,0.0,0.3217362853862883,29.139305485845483,29.783449085692418,5.855091430758079,3.6898171384838436,7.927545715379039,0,1,1,0,1,1,0,1,1
31,2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,3,0,156,0,0,0,1,0,0,0,0.6136758587111996,0.38632414128880044,63.3863241412888,49.4547034348448,56.6136758587112,-3.476917271599204,47.3863241412888,51.6136758587112,8.3863241412888,0.0,0.0,0.0,0.3279486211933201,29.13682055152267,29.783863241412888,5.8136758587112,3.7726482825776007,7.906837929355599,1,1,1,1,1,1,1,1,1
32,2007-06-05,"1500 West Granville Avenue, Chicago, IL 60660, USA",15, W GRANVILLE AVE,T149,"1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,8,1,0,156,0,0,1,0,0,0,0,0.5418065891480442,0.4581934108519557,63.45819341085195,49.167226356592174,56.54180658914804,-4.123740697667602,47.458193410851955,51.54180658914804,8.458193410851955,0.0,0.0,0.0,0.33872901162779334,29.132508395348882,29.784581934108516,5.7418065891480445,3.9163868217039113,7.870903294574021,1,1,1,1,1,1,1,1,1
33,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,156,0,1,0,0,0,0,0,0.6333930953177446,0.3666069046822554,63.36660690468226,49.53357238127097,56.63339309531774,-3.2994621421402983,47.36660690468226,51.63339309531774,8.366606904682255,0.0,0.0,0.0,0.32499103570233834,29.138003585719062,29.783666069046824,5.833393095317745,3.7332138093645106,7.916696547658871,0,1,1,0,1,1,0,1,1
34,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,156,0,0,1,0,0,0,0,0.6333930953177446,0.3666069046822554,63.36660690468226,49.53357238127097,56.63339309531774,-3.2994621421402983,47.36660690468226,51.63339309531774,8.366606904682255,0.0,0.0,0.0,0.32499103570233834,29.138003585719062,29.783666069046824,5.833393095317745,3.7332138093645106,7.916696547658871,0,1,1,0,1,1,0,1,1
35,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,156,0,0,0,1,0,0,0,0.6333930953177446,0.3666069046822554,63.36660690468226,49.53357238127097,56.63339309531774,-3.2994621421402983,47.36660690468226,51.63339309531774,8.366606904682255,0.0,0.0,0.0,0.32499103570233834,29.138003585719062,29.783666069046824,5.833393095317745,3.7332138093645106,7.916696547658871,0,1,1,0,1,1,0,1,1
36,2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,2,0,156,0,0,1,0,0,0,0,0.7798876929146804,0.22011230708531954,63.220112307085316,50.119550771658716,56.77988769291468,-1.9810107637678758,47.220112307085316,51.779887692914684,8.22011230708532,0.0,0.0,0.0,0.30301684606279794,29.146793261574878,29.782201123070852,5.97988769291468,3.440224614170639,7.989943846457339,1,1,1,1,1,1,1,1,1
37,2007-06-05,"1800 West Farwell Avenue, Chicago, IL 60626, USA",18, W FARWELL AVE,T150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9,2,0,156,0,0,0,1,0,0,0,0.5248120164274926,0.4751879835725074,63.47518798357251,49.09924806570997,56.5248120164275,-4.276691852152567,47.47518798357251,51.5248120164275,8.475187983572507,0.0,0.0,0.0,0.3412781975358761,29.13148872098565,29.784751879835724,5.724812016427493,3.950375967145015,7.862406008213746,0,1,1,0,1,1,0,1,1
38,2007-06-05,"2100 North Lawler Avenue, Chicago, IL 60639, USA",21, N LAWLER AVE,T154,"2100  N LAWLER AVE, Chicago, IL",41.918704999999996,-87.752329,8,1,0,156,0,0,0,1,0,0,0,0.5973031172761238,0.40269688272387605,63.402696882723866,49.38921246910449,56.59730311727612,-3.6242719445148843,47.40269688272387,51.59730311727612,8.402696882723875,0.0,0.0,0.0,0.33040453240858136,29.135838187036562,29.784026968827234,5.797303117276123,3.805393765447752,7.89865155863806,1,1,1,1,1,1,1,1,1
39,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,156,0,0,1,0,0,0,0,0.63338033389947,0.36661966610053,63.36661966610053,49.53352133559788,56.63338033389947,-3.2995769949047697,47.36661966610053,51.63338033389947,8.36661966610053,0.0,0.0,0.0,0.32499294991507954,29.138002820033968,29.78366619666101,5.83338033389947,3.7332393322010597,7.916690166949735,1,1,1,1,1,1,1,1,1
40,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,156,0,0,0,1,0,0,0,0.63338033389947,0.36661966610053,63.36661966610053,49.53352133559788,56.63338033389947,-3.2995769949047697,47.36661966610053,51.63338033389947,8.36661966610053,0.0,0.0,0.0,0.32499294991507954,29.138002820033968,29.78366619666101,5.83338033389947,3.7332393322010597,7.916690166949735,1,1,1,1,1,1,1,1,1
41,2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,156,0,0,0,1,0,0,0,0.6310866790858984,0.36891332091410145,63.368913320914096,49.52434671634359,56.63108667908589,-3.320219888226913,47.368913320914096,51.6310866790859,8.3689133209141,0.0,0.0,0.0,0.3253369981371152,29.137865200745154,29.783689133209137,5.831086679085898,3.7378266418282027,7.915543339542948,0,0,1,0,0,1,0,0,1
42,2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,4,0,156,0,0,0,1,0,0,0,0.7640426903880766,0.2359573096119234,63.235957309611926,50.05617076155231,56.764042690388074,-2.123615786507311,47.23595730961192,51.764042690388074,8.235957309611923,0.0,0.0,0.0,0.30539359644178854,29.145842561423287,29.78235957309612,5.9640426903880766,3.4719146192238473,7.982021345194038,0,0,1,0,0,1,0,0,1
43,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,156,0,1,0,0,0,0,0,0.7991185425377252,0.20088145746227484,63.20088145746227,50.19647417015091,56.79911854253773,-1.8079331171604736,47.20088145746228,51.79911854253773,8.200881457462275,0.0,0.0,0.0,0.30013221861934125,29.147947112552266,29.782008814574624,5.999118542537725,3.40176291492455,7.999559271268863,1,1,1,1,1,1,1,1,1
44,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,156,0,0,1,0,0,0,0,0.7991185425377252,0.20088145746227484,63.20088145746227,50.19647417015091,56.79911854253773,-1.8079331171604736,47.20088145746228,51.79911854253773,8.200881457462275,0.0,0.0,0.0,0.30013221861934125,29.147947112552266,29.782008814574624,5.999118542537725,3.40176291492455,7.999559271268863,1,1,1,1,1,1,1,1,1
45,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,156,0,0,0,1,0,0,0,0.7991185425377252,0.20088145746227484,63.20088145746227,50.19647417015091,56.79911854253773,-1.8079331171604736,47.20088145746228,51.79911854253773,8.200881457462275,0.0,0.0,0.0,0.30013221861934125,29.147947112552266,29.782008814574624,5.999118542537725,3.40176291492455,7.999559271268863,1,1,1,1,1,1,1,1,1
46,2007-06-05,"2500 South Millard Avenue, Chicago, IL 60623, USA",25, S MILLARD AVE,T152,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,9,1,0,156,0,0,0,1,0,0,0,0.7902842549056472,0.20971574509435267,63.20971574509434,50.161137019622586,56.79028425490564,-1.8874417058491741,47.20971574509435,51.79028425490564,8.209715745094352,0.0,0.0,0.0,0.3014573617641529,29.147417055294337,29.78209715745094,5.990284254905648,3.419431490188705,7.995142127452823,0,0,1,0,0,1,0,0,1
47,2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,156,0,0,0,1,0,0,0,0.6749127318847756,0.32508726811522437,63.325087268115226,49.6996509275391,56.674912731884774,-2.925785413037019,47.325087268115226,51.674912731884774,8.325087268115224,0.0,0.0,0.0,0.31876309021728366,29.14049476391309,29.78325087268115,5.874912731884776,3.6501745362304483,7.937456365942388,0,0,1,0,0,1,0,0,1
48,2007-06-05,"2800 North Francisco Avenue, Chicago, IL 60618, USA",28, N FRANCISCO AVE,T147,"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,8,1,0,156,0,0,0,1,0,0,0,0.6093784171149538,0.3906215828850462,63.390621582885046,49.437513668459815,56.609378417114954,-3.515594245965416,47.390621582885046,51.609378417114954,8.390621582885046,0.0,0.0,0.0,0.3285932374327569,29.136562705026897,29.78390621582885,5.809378417114955,3.7812431657700927,7.9046892085574765,1,1,1,1,1,1,1,1,1
49,2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",35, W 116TH ST,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,3,0,156,0,0,1,0,0,0,0,0.773908872270579,0.22609112772942103,63.22609112772942,50.09563548908232,56.77390887227058,-2.0348201495647893,47.22609112772942,51.77390887227058,8.226091127729422,0.0,0.0,0.0,0.3039136691594132,29.146434532336237,29.782260911277298,5.973908872270579,3.452182255458842,7.9869544361352895,0,0,1,0,0,1,0,0,1
50,2007-06-05,"3500 West 116th Street, Chicago, IL 60655, USA",35, W 116TH ST,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9,8,0,156,0,0,0,1,0,0,0,0.773908872270579,0.22609112772942103,63.22609112772942,50.09563548908232,56.77390887227058,-2.0348201495647893,47.22609112772942,51.77390887227058,8.226091127729422,0.0,0.0,0.0,0.3039136691594132,29.146434532336237,29.782260911277298,5.973908872270579,3.452182255458842,7.9869544361352895,0,0,1,0,0,1,0,0,1
51,2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",36, N PITTSBURGH AVE,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,1,0,156,0,0,0,1,0,0,0,0.38746875007304166,0.6125312499269585,63.612531249926974,48.549875000292175,56.38746875007305,-5.512781249342627,47.61253124992697,51.38746875007305,8.61253124992696,0.0,0.0,0.0,0.3618796874890438,29.123248125004388,29.786125312499273,5.587468750073043,4.225062499853918,7.7937343750365216,0,1,1,0,1,1,0,1,1
